bid_id,buyer_id,product_id,date_bid,bid_price
1,113,14,2023-06-13 06:42:40,96720000
2,63,43,2023-01-23 16:43:32,172980000
3,107,16,2023-02-07 01:36:13,80510000
4,52,13,2023-01-23 23:55:57,108570000
5,13,39,2023-02-08 20:04:11,244790000
6,64,40,2023-09-18 03:45:04,382560000
7,1,39,2023-02-08 20:04:11,250170000
8,64,19,2023-03-16 12:26:35,106950000
9,97,15,2023-11-02 14:10:41,100580000
10,148,2,2023-08-11 00:40:57,212850000
11,47,3,2023-05-25 22:53:34,152280000
12,143,31,2023-05-24 12:29:44,224200000
13,116,45,2023-07-10 21:31:36,361725000
14,113,36,2023-10-25 18:47:36,390100000
15,37,49,2023-10-19 07:15:51,97000000
16,81,32,2023-05-28 07:57:52,227500000
17,78,33,2023-05-21 05:50:01,203040000
18,58,35,2023-06-20 11:36:31,170880000
19,21,14,2023-06-13 06:42:40,101920000
20,47,50,2023-10-27 13:21:39,150300000
21,49,35,2023-06-20 11:36:31,167320000
22,89,23,2023-04-01 08:27:37,174708000
23,4,8,2023-04-25 04:39:04,107800000
24,145,31,2023-05-24 12:29:44,231280000
25,144,15,2023-11-02 14:10:41,105930000
26,116,29,2023-05-29 07:42:35,96000000
27,11,49,2023-10-19 07:15:51,92000000
28,138,45,2023-07-10 21:31:36,377625000
29,34,26,2023-05-15 13:42:23,168300000
30,24,33,2023-05-21 05:50:01,203040000
31,37,13,2023-01-23 23:55:57,107415000
32,81,40,2023-09-18 03:45:04,378575000
33,82,41,2023-07-14 09:28:56,332500000
34,103,7,2023-01-15 09:07:42,91180000
35,90,31,2023-05-24 12:29:44,224200000
36,39,36,2023-10-25 18:47:36,373500000
37,27,15,2023-11-02 14:10:41,103790000
38,19,49,2023-10-19 07:15:51,98000000
39,23,19,2023-03-16 12:26:35,110400000
40,89,32,2023-05-28 07:57:52,237500000
41,75,10,2023-01-24 12:06:30,108570000
42,95,12,2023-07-26 08:57:26,124670000
43,79,41,2023-07-14 09:28:56,339500000
44,90,9,2023-09-28 07:01:24,139950000
45,64,5,2023-04-02 17:26:11,115320000
46,134,49,2023-10-19 07:15:51,92000000
47,76,23,2023-04-01 08:27:37,186102000
48,137,50,2023-10-27 13:21:39,156980000
49,120,3,2023-05-25 22:53:34,158760000
50,106,43,2023-01-23 16:43:32,184140000
51,40,50,2023-10-27 13:21:39,158650000
52,127,19,2023-03-16 12:26:35,106950000
53,136,26,2023-05-15 13:42:23,153000000
54,124,17,2023-09-23 12:07:50,118800000
55,124,33,2023-05-21 05:50:01,198720000
56,101,4,2023-06-27 09:31:51,215600000
57,93,5,2023-04-02 17:26:11,119040000
58,13,35,2023-06-20 11:36:31,165540000
59,132,45,2023-07-10 21:31:36,373650000
60,40,26,2023-05-15 13:42:23,154700000
61,9,38,2023-09-08 08:29:56,105560000
62,51,47,2023-05-13 04:47:04,165540000
63,92,29,2023-05-29 07:42:35,97000000
64,111,20,2023-05-17 07:46:52,110740000
65,69,27,2023-09-01 18:10:37,213885000
66,5,29,2023-05-29 07:42:35,91000000
67,117,39,2023-02-08 20:04:11,247480000
68,19,34,2023-11-05 06:00:31,184320000
69,130,4,2023-06-27 09:31:51,211200000
70,133,38,2023-09-08 08:29:56,113680000
71,50,40,2023-09-18 03:45:04,370605000
72,137,50,2023-10-27 13:21:39,151970000
73,93,48,2023-01-21 15:47:29,159600000
74,45,45,2023-07-10 21:31:36,361725000
75,36,2,2023-08-11 00:40:57,212850000
76,121,25,2023-09-12 18:09:18,188940000
77,134,21,2023-06-11 13:36:17,188100000
78,62,45,2023-07-10 21:31:36,373650000
79,8,11,2023-01-18 12:06:16,128700000
80,54,34,2023-11-05 06:00:31,174720000
81,81,25,2023-09-12 18:09:18,194970000
82,32,4,2023-06-27 09:31:51,215600000
83,33,30,2023-03-10 11:59:43,143100000
84,127,13,2023-01-23 23:55:57,103950000
85,77,42,2023-08-11 18:51:00,150150000
86,38,20,2023-05-17 07:46:52,110740000
87,51,10,2023-01-24 12:06:30,107415000
88,79,24,2023-01-17 15:01:04,159360000
89,22,27,2023-09-01 18:10:37,207270000
90,116,31,2023-05-24 12:29:44,217120000
91,108,4,2023-06-27 09:31:51,204600000
92,109,11,2023-01-18 12:06:16,123500000
93,49,43,2023-01-23 16:43:32,182280000
94,144,10,2023-01-24 12:06:30,105105000
95,34,12,2023-07-26 08:57:26,130150000
96,75,18,2023-06-20 18:16:03,88320000
97,101,11,2023-01-18 12:06:16,117000000
98,75,48,2023-01-21 15:47:29,154560000
99,1,26,2023-05-15 13:42:23,158100000
100,140,16,2023-02-07 01:36:13,74700000
101,6,22,2023-07-02 17:42:16,205160000
102,6,24,2023-01-17 15:01:04,157700000
103,133,29,2023-05-29 07:42:35,93000000
104,2,22,2023-07-02 17:42:16,207390000
105,2,43,2023-01-23 16:43:32,167400000
106,21,18,2023-06-20 18:16:03,86400000
107,24,13,2023-01-23 23:55:57,105105000
108,124,32,2023-05-28 07:57:52,247500000
109,30,1,2023-09-15 22:20:37,166250000
110,75,47,2023-05-13 04:47:04,161980000
111,144,3,2023-05-25 22:53:34,160380000
112,79,29,2023-05-29 07:42:35,91000000
113,37,13,2023-01-23 23:55:57,103950000
114,147,33,2023-05-21 05:50:01,194400000
115,77,1,2023-09-15 22:20:37,171500000
116,14,36,2023-10-25 18:47:36,410850000
117,59,7,2023-01-15 09:07:42,96030000
118,32,34,2023-11-05 06:00:31,186240000
119,147,19,2023-03-16 12:26:35,113850000
120,147,34,2023-11-05 06:00:31,172800000
121,115,15,2023-11-02 14:10:41,98440000
122,28,22,2023-07-02 17:42:16,200700000
123,83,34,2023-11-05 06:00:31,178560000
124,92,20,2023-05-17 07:46:52,103960000
125,77,44,2023-06-07 03:51:46,175420000
126,141,1,2023-09-15 22:20:37,159250000
127,60,36,2023-10-25 18:47:36,402550000
128,70,25,2023-09-12 18:09:18,182910000
129,104,42,2023-08-11 18:51:00,156750000
130,108,9,2023-09-28 07:01:24,144615000
131,134,21,2023-06-11 13:36:17,180500000
132,136,43,2023-01-23 16:43:32,176700000
133,93,49,2023-10-19 07:15:51,98000000
134,143,46,2023-03-04 14:22:25,115000000
135,30,5,2023-04-02 17:26:11,112840000
136,124,44,2023-06-07 03:51:46,164680000
137,63,28,2023-08-22 00:22:30,130950000
138,19,28,2023-08-22 00:22:30,129600000
139,146,25,2023-09-12 18:09:18,196980000
140,51,17,2023-09-23 12:07:50,111600000
141,29,15,2023-11-02 14:10:41,96300000
142,17,28,2023-08-22 00:22:30,124200000
143,15,26,2023-05-15 13:42:23,158100000
144,78,16,2023-02-07 01:36:13,77190000
145,38,17,2023-09-23 12:07:50,114000000
146,6,44,2023-06-07 03:51:46,175420000
147,5,36,2023-10-25 18:47:36,402550000
148,139,31,2023-05-24 12:29:44,233640000
149,100,43,2023-01-23 16:43:32,178560000
150,73,50,2023-10-27 13:21:39,156980000
151,34,22,2023-07-02 17:42:16,214080000
152,51,35,2023-06-20 11:36:31,161980000
153,16,13,2023-01-23 23:55:57,109725000
154,30,13,2023-01-23 23:55:57,106260000
155,12,21,2023-06-11 13:36:17,180500000
156,71,28,2023-08-22 00:22:30,125550000
157,42,26,2023-05-15 13:42:23,154700000
158,120,22,2023-07-02 17:42:16,220770000
159,123,22,2023-07-02 17:42:16,216310000
160,106,48,2023-01-21 15:47:29,151200000
161,49,41,2023-07-14 09:28:56,325500000
162,39,41,2023-07-14 09:28:56,336000000
163,24,36,2023-10-25 18:47:36,406700000
164,126,4,2023-06-27 09:31:51,206800000
165,61,44,2023-06-07 03:51:46,173630000
166,126,39,2023-02-08 20:04:11,242100000
167,97,21,2023-06-11 13:36:17,178600000
168,114,14,2023-06-13 06:42:40,98800000
169,67,13,2023-01-23 23:55:57,106260000
170,137,12,2023-07-26 08:57:26,127410000
171,140,15,2023-11-02 14:10:41,105930000
172,80,37,2023-02-28 11:27:49,313950000
173,75,28,2023-08-22 00:22:30,122850000
174,132,48,2023-01-21 15:47:29,159600000
175,130,3,2023-05-25 22:53:34,147420000
176,30,49,2023-10-19 07:15:51,91000000
177,114,7,2023-01-15 09:07:42,90210000
178,17,37,2023-02-28 11:27:49,317400000
179,55,16,2023-02-07 01:36:13,81340000
180,109,37,2023-02-28 11:27:49,324300000
181,5,7,2023-01-15 09:07:42,90210000
182,137,5,2023-04-02 17:26:11,120280000
183,2,39,2023-02-08 20:04:11,263620000
184,99,39,2023-02-08 20:04:11,242100000
185,71,44,2023-06-07 03:51:46,173630000
186,135,38,2023-09-08 08:29:56,105560000
187,53,2,2023-08-11 00:40:57,204250000
188,124,6,2023-06-30 18:58:22,107160000
189,98,47,2023-05-13 04:47:04,169100000
190,48,10,2023-01-24 12:06:30,109725000
191,100,6,2023-06-30 18:58:22,103740000
192,20,44,2023-06-07 03:51:46,173630000
193,60,25,2023-09-12 18:09:18,186930000
194,2,37,2023-02-28 11:27:49,327750000
195,2,36,2023-10-25 18:47:36,377650000
196,119,23,2023-04-01 08:27:37,184203000
197,146,43,2023-01-23 16:43:32,171120000
198,123,7,2023-01-15 09:07:42,92150000
199,62,18,2023-06-20 18:16:03,91200000
200,3,44,2023-06-07 03:51:46,164680000
